time,P,G(i),H_sun,T2m,WS10m,Int
20160412:1209,12.13,65.78,48.99,19.1,6.0,0.0
20160412:1309,164.95,683.59,36.9,19.24,5.79,0.0
20160412:1409,88.84,377.02,24.25,18.72,6.21,0.0
20160412:1509,30.23,158.9,11.44,17.45,6.0,0.0
20160412:1609,0.0,0.0,0.0,16.5,5.1,0.0
20160412:1709,0.0,0.0,0.0,15.75,4.21,0.0
20160412:1809,0.0,0.0,0.0,15.24,3.17,0.0
20160412:1909,0.0,0.0,0.0,14.75,3.24,0.0
20160412:2009,0.0,0.0,0.0,14.08,3.52,0.0
20160412:2109,0.0,0.0,0.0,13.6,3.86,0.0
20160412:2209,0.0,0.0,0.0,13.28,4.14,0.0
20160412:2309,0.0,0.0,0.0,12.97,4.21,0.0
20160413:0009,0.0,0.0,0.0,13.02,3.79,0.0
20160413:0109,0.0,0.0,0.0,12.82,3.79,0.0
20160413:0209,0.0,0.0,0.0,12.61,4.07,0.0
20160413:0309,0.0,0.0,0.0,12.57,3.79,0.0
20160413:0409,0.77,11.44,10.57,12.21,4.0,0.0
20160413:0509,7.79,45.76,23.38,12.6,4.14,0.0
20160413:0609,8.4,48.62,36.07,13.84,4.0,0.0
20160413:0709,31.52,143.01,48.26,15.27,4.55,0.0
20160413:0809,236.29,989.7,59.12,16.87,5.24,0.0
20160413:0909,233.11,977.8,66.56,17.46,5.79,0.0
20160413:1009,86.61,363.97,66.89,18.35,6.41,0.0
20160413:1109,120.77,499.34,59.87,17.85,7.03,0.0
20160413:1209,104.83,434.58,49.17,17.94,6.83,0.0
20160413:1309,125.99,517.88,37.04,17.85,6.62,0.0
20160413:1409,12.23,65.78,24.37,17.52,6.21,0.0
20160413:1509,30.19,158.2,11.56,16.57,5.17,0.0
20160413:1609,0.0,0.0,0.0,15.42,3.59,0.0
20160413:1709,0.0,0.0,0.0,14.46,2.55,0.0
20160413:1809,0.0,0.0,0.0,13.87,1.72,0.0
20160413:1909,0.0,0.0,0.0,13.66,1.45,0.0
20160413:2009,0.0,0.0,0.0,13.3,1.17,0.0
20160413:2109,0.0,0.0,0.0,12.92,0.97,0.0
20160413:2209,0.0,0.0,0.0,12.82,0.97,0.0
20160413:2309,0.0,0.0,0.0,12.77,0.97,0.0
20160414:0009,0.0,0.0,0.0,12.58,0.97,0.0
20160414:0109,0.0,0.0,0.0,12.18,1.03,0.0
20160414:0209,0.0,0.0,0.0,11.81,0.97,0.0
20160414:0309,0.0,0.0,0.0,11.49,0.97,0.0
20160414:0409,13.25,83.15,10.8,11.72,0.97,0.0
20160414:0509,70.47,316.19,23.62,13.37,0.97,0.0
20160414:0609,106.13,447.47,36.32,14.95,0.9,0.0
20160414:0709,168.56,714.17,48.53,16.37,1.79,0.0
20160414:0809,170.91,727.55,59.44,17.89,2.48,0.0
20160414:0909,187.43,804.69,66.93,19.02,2.9,0.0
20160414:1009,159.22,677.7,67.22,20.02,3.59,0.0
20160414:1109,227.63,983.32,60.1,20.84,4.14,0.0
20160414:1209,204.12,868.98,49.34,21.09,4.55,0.0
20160414:1309,137.16,575.3,37.18,20.85,4.9,0.0
20160414:1409,87.78,377.19,24.5,20.54,5.03,0.0
20160414:1509,26.42,138.3,11.69,19.63,4.69,0.0
20160414:1609,0.0,0.0,0.0,18.4,3.59,0.0
20160414:1709,0.0,0.0,0.0,17.13,2.76,0.0
20160414:1809,0.0,0.0,0.0,16.16,1.72,0.0
20160414:1909,0.0,0.0,0.0,14.97,1.31,0.0
20160414:2009,0.0,0.0,0.0,14.78,0.55,0.0
20160414:2109,0.0,0.0,0.0,14.24,0.34,0.0
20160414:2209,0.0,0.0,0.0,13.91,0.48,0.0
20160414:2309,0.0,0.0,0.0,13.51,0.83,0.0
20160415:0009,0.0,0.0,0.0,12.74,0.97,0.0
20160415:0109,0.0,0.0,0.0,12.45,1.03,0.0
20160415:0209,0.0,0.0,0.0,11.97,1.24,0.0
20160415:0309,0.0,0.0,0.0,11.41,1.45,0.0
20160415:0409,13.37,85.29,11.04,11.66,1.45,0.0
20160415:0509,70.58,317.71,23.85,14.57,1.1,0.0
20160415:0609,134.84,579.49,36.56,18.26,1.03,0.0
20160415:0709,183.67,808.09,48.8,19.95,0.97,0.0
20160415:0809,217.58,979.44,59.75,21.46,1.38,0.0
20160415:0909,236.37,1075.18,67.29,22.82,1.93,0.0
20160415:1009,242.0,1099.37,67.55,23.88,2.48,0.0
20160415:1109,230.0,1032.5,60.34,24.6,2.9,0.0
20160415:1209,198.0,870.37,49.51,24.97,3.24,0.0
20160415:1309,153.92,665.6,37.32,24.93,3.45,0.0
20160415:1409,94.61,416.41,24.62,24.44,3.59,0.0
20160415:1509,28.59,154.7,11.81,23.37,3.72,0.0
20160415:1609,0.0,0.0,0.0,21.59,3.1,0.0
20160415:1709,0.0,0.0,0.0,19.73,2.34,0.0
20160415:1809,0.0,0.0,0.0,18.52,1.45,0.0
20160415:1909,0.0,0.0,0.0,17.24,1.03,0.0
20160415:2009,0.0,0.0,0.0,16.86,0.83,0.0
20160415:2109,0.0,0.0,0.0,16.01,1.03,0.0
20160415:2209,0.0,0.0,0.0,14.87,1.38,0.0
20160415:2309,0.0,0.0,0.0,14.03,1.66,0.0
20160416:0009,0.0,0.0,0.0,13.36,1.86,0.0
20160416:0109,0.0,0.0,0.0,12.83,2.07,0.0
20160416:0209,0.0,0.0,0.0,12.4,2.14,0.0
20160416:0309,0.0,0.0,0.0,12.08,2.21,0.0
20160416:0409,15.81,86.62,11.27,12.45,2.0,0.0
20160416:0509,66.55,298.82,24.08,16.48,1.31,0.0
20160416:0609,126.83,551.03,36.8,21.15,1.17,0.0
20160416:0709,175.65,781.63,49.06,23.66,1.24,0.0
20160416:0809,205.48,950.04,60.06,25.41,0.9,0.0
20160416:0909,220.32,1061.09,67.64,26.88,0.34,0.0
20160416:1009,226.08,1090.47,67.87,28.12,0.69,0.0
20160416:1109,219.69,1029.18,60.56,29.17,1.72,0.0
20160416:1209,194.23,882.31,49.67,29.78,2.62,0.0
20160416:1309,149.94,663.71,37.45,29.73,3.52,0.0
20160416:1409,92.7,416.05,24.75,28.93,4.21,0.0
20160416:1509,27.83,153.11,11.93,27.26,4.28,0.0
20160416:1609,0.0,0.0,0.0,25.04,3.38,0.0
20160416:1709,0.0,0.0,0.0,22.94,2.83,0.0
20160416:1809,0.0,0.0,0.0,21.67,2.41,0.0
20160416:1909,0.0,0.0,0.0,20.56,1.93,0.0
20160416:2009,0.0,0.0,0.0,19.25,1.72,0.0
20160416:2109,0.0,0.0,0.0,18.5,1.59,0.0
20160416:2209,0.0,0.0,0.0,17.91,1.59,0.0
20160416:2309,0.0,0.0,0.0,17.48,1.66,0.0
20160417:0009,0.0,0.0,0.0,17.25,1.59,0.0
20160417:0109,0.0,0.0,0.0,17.33,1.59,0.0
20160417:0209,0.0,0.0,0.0,17.68,1.38,0.0
20160417:0309,0.0,0.0,0.0,17.33,1.38,0.0
20160417:0409,14.75,91.28,11.5,16.74,1.45,0.0
20160417:0509,69.71,320.64,24.31,19.5,0.76,0.0
20160417:0609,129.84,575.2,37.04,22.53,0.34,0.0
20160417:0709,179.14,806.16,49.32,24.86,1.1,0.0
20160417:0809,210.59,973.6,60.36,26.45,1.31,0.0
20160417:0909,230.16,1079.66,68.0,27.82,1.72,0.0
20160417:1009,237.31,1109.29,68.19,28.9,2.41,0.0
20160417:1109,225.64,1035.77,60.79,29.6,3.17,0.0
20160417:1209,197.77,884.38,49.84,29.76,4.07,0.0
20160417:1309,151.97,664.79,37.58,29.17,4.9,0.0
20160417:1409,94.77,421.27,24.87,27.76,5.24,0.0
20160417:1509,28.81,156.74,12.06,25.74,4.83,0.0
20160417:1609,0.0,0.0,0.0,23.51,3.45,0.0
20160417:1709,0.0,0.0,0.0,21.59,2.34,0.0
20160417:1809,0.0,0.0,0.0,20.34,1.45,0.0
20160417:1909,0.0,0.0,0.0,19.12,0.97,0.0
20160417:2009,0.0,0.0,0.0,18.27,0.76,0.0
20160417:2109,0.0,0.0,0.0,17.47,0.83,0.0
20160417:2209,0.0,0.0,0.0,16.62,0.97,0.0
20160417:2309,0.0,0.0,0.0,16.25,0.83,0.0
20160418:0009,0.0,0.0,0.0,15.67,0.48,0.0
20160418:0109,0.0,0.0,0.0,15.0,0.28,0.0
20160418:0209,0.0,0.0,0.0,14.52,0.14,0.0
20160418:0309,0.0,0.0,0.0,14.14,0.21,0.0
20160418:0409,13.23,90.95,11.73,13.9,0.41,0.0
20160418:0509,72.66,330.8,24.54,16.11,0.28,0.0
20160418:0609,136.29,590.94,37.27,19.13,0.76,0.0
20160418:0709,186.71,823.35,49.58,22.46,1.72,0.0
20160418:0809,218.4,989.59,60.66,24.64,2.0,0.0
20160418:0909,237.16,1096.05,68.35,26.56,2.28,0.0
20160418:1009,239.76,1113.78,68.51,28.03,2.55,0.0
20160418:1109,226.8,1040.4,61.01,28.97,3.03,0.0
20160418:1209,198.15,886.99,50.0,29.23,3.72,0.0
20160418:1309,154.55,675.99,37.72,28.72,4.62,0.0
20160418:1409,96.96,430.11,24.99,27.31,5.24,0.0
20160418:1509,29.64,161.38,12.18,25.01,5.24,0.0
20160418:1609,0.0,0.0,0.0,22.47,4.21,0.0
20160418:1709,0.0,0.0,0.0,20.51,3.45,0.0
20160418:1809,0.0,0.0,0.0,19.36,2.41,0.0
20160418:1909,0.0,0.0,0.0,18.72,1.72,0.0
20160418:2009,0.0,0.0,0.0,17.68,1.52,0.0
20160418:2109,0.0,0.0,0.0,16.46,1.38,0.0
20160418:2209,0.0,0.0,0.0,15.63,1.24,0.0
20160418:2309,0.0,0.0,0.0,15.4,1.03,0.0
20160419:0009,0.0,0.0,0.0,15.38,0.97,0.0
20160419:0109,0.0,0.0,0.0,15.35,0.97,0.0
20160419:0209,0.0,0.0,0.0,15.27,0.97,0.0
20160419:0309,0.0,0.0,0.0,15.59,0.62,0.0
20160419:0409,2.78,22.88,11.95,16.1,0.28,0.0
20160419:0509,68.63,313.11,24.76,18.19,0.41,0.0
20160419:0609,131.33,573.63,37.5,21.5,0.97,0.0
20160419:0709,182.95,801.97,49.83,25.38,3.17,0.0
20160419:0809,215.31,968.06,60.96,27.97,3.52,0.0
20160419:0909,232.42,1067.36,68.7,30.17,3.66,0.0
20160419:1009,233.64,1090.01,68.82,31.63,3.24,0.0
20160419:1109,215.77,1016.37,61.23,32.49,2.28,0.0
20160419:1209,185.65,870.79,50.16,32.76,1.45,0.0
20160419:1309,146.87,666.66,37.85,32.66,2.41,0.0
20160419:1409,92.12,421.02,25.11,31.98,3.72,0.0
20160419:1509,27.98,156.89,12.31,30.65,4.48,0.0
20160419:1609,0.0,0.0,0.0,28.17,4.21,0.0
20160419:1709,0.0,0.0,0.0,26.05,3.86,0.0
20160419:1809,0.0,0.0,0.0,25.01,3.38,0.0
20160419:1909,0.0,0.0,0.0,24.6,2.97,0.0
20160419:2009,0.0,0.0,0.0,23.61,3.03,0.0
20160419:2109,0.0,0.0,0.0,22.56,3.03,0.0
20160419:2209,0.0,0.0,0.0,21.53,3.03,0.0
20160419:2309,0.0,0.0,0.0,20.59,3.17,0.0
20160420:0009,0.0,0.0,0.0,19.67,3.31,0.0
20160420:0109,0.0,0.0,0.0,19.24,3.52,0.0
20160420:0209,0.0,0.0,0.0,19.02,3.72,0.0
20160420:0309,0.0,0.0,0.0,18.84,3.86,0.0
20160420:0409,13.99,93.7,12.17,19.29,3.79,0.0
20160420:0509,70.84,325.97,24.97,22.41,3.52,0.0
20160420:0609,132.23,576.36,37.72,26.7,4.21,0.0
20160420:0709,182.27,803.54,50.07,29.39,4.83,0.0
20160420:0809,212.9,959.12,61.25,31.36,4.97,0.0
20160420:0909,231.42,1062.21,69.04,32.88,4.9,0.0
20160420:1009,234.27,1090.18,69.13,34.03,4.41,0.0
20160420:1109,217.38,1016.55,61.45,34.74,3.59,0.0
20160420:1209,185.73,866.42,50.31,35.05,2.55,0.0
20160420:1309,142.0,659.1,37.98,35.05,1.52,0.0
20160420:1409,88.48,417.37,25.23,34.74,1.03,0.0
20160420:1509,28.09,161.31,12.43,33.92,2.21,0.0
20160420:1609,0.0,0.0,0.0,31.65,2.83,0.0
20160420:1709,0.0,0.0,0.0,29.18,2.69,0.0
20160420:1809,0.0,0.0,0.0,27.49,2.21,0.0
20160420:1909,0.0,0.0,0.0,25.3,1.38,0.0
20160420:2009,0.0,0.0,0.0,24.33,0.62,0.0
20160420:2109,0.0,0.0,0.0,22.86,0.55,0.0
20160420:2209,0.0,0.0,0.0,21.57,0.76,0.0
20160420:2309,0.0,0.0,0.0,20.76,0.83,0.0
20160421:0009,0.0,0.0,0.0,20.35,0.9,0.0
20160421:0109,0.0,0.0,0.0,19.47,1.1,0.0
20160421:0209,0.0,0.0,0.0,18.26,1.45,0.0
20160421:0309,0.0,0.0,0.0,16.99,1.86,0.0
20160421:0409,15.25,95.99,12.39,17.48,1.72,0.0
20160421:0509,69.1,321.89,25.19,22.19,0.55,0.0
20160421:0609,128.91,571.62,37.94,25.59,1.38,0.0
20160421:0709,174.88,797.15,50.32,28.37,1.31,0.0
20160421:0809,207.4,961.64,61.53,30.15,2.07,0.0
20160421:0909,226.66,1058.4,69.38,31.57,2.9,0.0
20160421:1009,232.38,1080.72,69.44,32.5,3.72,0.0
20160421:1109,221.33,1012.64,61.66,32.86,4.62,0.0
20160421:1209,201.03,902.03,50.47,32.58,5.38,0.0
20160421:1309,148.18,653.12,38.11,31.71,5.72,0.0
20160421:1409,92.27,415.09,25.35,30.07,5.52,0.0
20160421:1509,29.95,167.38,12.55,27.76,4.9,0.0
20160421:1609,0.0,0.0,0.0,25.53,3.45,0.0
20160421:1709,0.0,0.0,0.0,23.97,2.07,0.0
20160421:1809,0.0,0.0,0.0,23.1,1.17,0.0
20160421:1909,0.0,0.0,0.0,23.07,1.03,0.0
20160421:2009,0.0,0.0,0.0,23.41,0.41,0.0
20160421:2109,0.0,0.0,0.0,19.97,1.86,0.0
20160421:2209,0.0,0.0,0.0,18.65,1.59,0.0
20160421:2309,0.0,0.0,0.0,19.28,0.9,0.0
20160422:0009,0.0,0.0,0.0,18.91,0.48,0.0
20160422:0109,0.0,0.0,0.0,18.31,0.55,0.0
20160422:0209,0.0,0.0,0.0,17.98,0.21,0.0
20160422:0309,0.0,0.0,0.0,17.91,0.41,0.0
20160422:0409,17.9,96.21,12.6,18.02,0.76,0.0
20160422:0509,64.97,296.41,25.4,20.45,0.41,0.0
20160422:0609,119.12,530.49,38.16,23.83,0.21,0.0
20160422:0709,166.07,760.24,50.55,26.59,0.41,0.0
20160422:0809,196.03,929.01,61.81,28.43,0.41,0.0
20160422:0909,219.18,1039.43,69.72,29.9,1.45,0.0
20160422:1009,228.55,1073.42,69.75,31.0,2.48,0.0
20160422:1109,221.43,1017.44,61.87,31.51,3.66,0.0
20160422:1209,192.35,862.07,50.62,31.39,4.48,0.0
20160422:1309,148.97,656.18,38.23,30.65,4.9,0.0
20160422:1409,91.28,410.53,25.47,29.47,4.83,0.0
20160422:1509,29.99,167.71,12.67,27.82,4.34,0.0
20160422:1609,0.0,0.0,0.0,25.77,3.31,0.0
20160422:1709,0.0,0.0,0.0,23.87,2.48,0.0
20160422:1809,0.0,0.0,0.0,22.78,1.59,0.0
20160422:1909,0.0,0.0,0.0,22.06,1.31,0.0
20160422:2009,0.0,0.0,0.0,20.76,1.03,0.0
20160422:2109,0.0,0.0,0.0,19.86,0.76,0.0
20160422:2209,0.0,0.0,0.0,19.65,0.48,0.0
20160422:2309,0.0,0.0,0.0,19.29,0.0,0.0
20160423:0009,0.0,0.0,0.0,19.17,0.28,0.0
20160423:0109,0.0,0.0,0.0,19.07,0.69,0.0
20160423:0209,0.0,0.0,0.0,18.71,0.97,0.0
20160423:0309,0.0,0.0,0.0,18.05,0.76,0.0
20160423:0409,17.21,100.76,12.81,17.96,0.34,0.0
20160423:0509,69.34,318.9,25.6,20.03,0.28,0.0
20160423:0609,127.28,562.69,38.37,23.54,0.76,0.0
20160423:0709,173.95,785.95,50.78,26.12,1.1,0.0
20160423:0809,204.02,951.34,62.09,28.19,1.17,0.0
20160423:0909,220.32,1039.94,70.05,29.8,1.66,0.0
20160423:1009,225.66,1060.63,70.05,30.94,2.34,0.0
20160423:1109,218.09,1011.2,62.07,31.62,2.97,0.0
20160423:1209,188.58,851.22,50.77,31.79,3.86,0.0
20160423:1309,145.96,644.32,38.36,31.09,4.9,0.0
20160423:1409,74.95,337.22,25.59,29.33,5.45,0.0
20160423:1509,3.51,27.65,12.8,27.09,4.83,0.0
20160423:1609,0.0,0.0,0.0,25.0,3.86,0.0
20160423:1709,0.0,0.0,0.0,23.51,3.03,0.0
20160423:1809,0.0,0.0,0.0,22.63,1.86,0.0
20160423:1909,0.0,0.0,0.0,21.53,1.72,0.0
20160423:2009,0.0,0.0,0.0,20.29,1.72,0.0
20160423:2109,0.0,0.0,0.0,19.01,1.31,0.0
20160423:2209,0.0,0.0,0.0,17.75,0.83,0.0
20160423:2309,0.0,0.0,0.0,17.13,0.62,0.0
20160424:0009,0.0,0.0,0.0,16.56,0.83,0.0
20160424:0109,0.0,0.0,0.0,16.88,0.76,0.0
20160424:0209,0.0,0.0,0.0,17.16,0.48,0.0
20160424:0309,0.0,0.0,0.0,17.32,0.48,0.0
20160424:0409,15.36,99.14,13.02,17.33,0.97,0.0
20160424:0509,70.43,323.3,25.8,20.08,0.9,0.0
20160424:0609,121.52,535.94,38.58,23.52,0.83,0.0
20160424:0709,168.52,764.56,51.01,26.15,0.76,0.0
20160424:0809,200.72,940.62,62.36,28.03,0.83,0.0
20160424:0909,216.16,1034.22,70.38,29.7,0.97,0.0
20160424:1009,219.55,1061.35,70.34,31.21,1.03,0.0
20160424:1109,207.44,994.16,62.28,32.32,1.17,0.0
20160424:1209,179.64,846.57,50.92,33.03,1.1,0.0
20160424:1309,139.56,646.71,38.48,33.46,0.97,0.0
20160424:1409,86.14,404.06,25.71,33.6,1.1,0.0
20160424:1509,27.27,156.02,12.92,33.2,0.9,0.0
20160424:1609,0.0,0.0,0.0,31.73,0.41,0.0
20160424:1709,0.0,0.0,0.0,29.88,1.86,0.0
20160424:1809,0.0,0.0,0.0,28.4,3.03,0.0
20160424:1909,0.0,0.0,0.0,27.82,4.07,0.0
20160424:2009,0.0,0.0,0.0,27.44,4.55,0.0
20160424:2109,0.0,0.0,0.0,27.17,4.76,0.0
20160424:2209,0.0,0.0,0.0,27.07,5.03,0.0
20160424:2309,0.0,0.0,0.0,26.82,5.17,0.0
20160425:0009,0.0,0.0,0.0,26.44,5.1,0.0
20160425:0109,0.0,0.0,0.0,25.87,4.62,0.0
20160425:0209,0.0,0.0,0.0,25.4,4.41,0.0
20160425:0309,0.0,0.0,0.0,24.78,4.14,0.0
20160425:0409,17.16,91.69,13.22,24.68,4.34,0.0
20160425:0509,59.77,271.52,26.0,25.26,5.72,0.0
20160425:0609,119.6,511.21,38.78,24.67,6.55,0.0
20160425:0709,174.49,744.5,51.23,24.99,6.34,0.0
20160425:0809,212.39,922.9,62.62,26.19,6.0,0.0
20160425:0909,235.72,1044.27,70.7,27.49,5.59,0.0
20160425:1009,237.05,1058.52,70.64,28.55,5.45,0.0
20160425:1109,222.84,991.3,62.48,29.15,5.45,0.0
20160425:1209,190.75,839.15,51.06,29.33,5.38,0.0
20160425:1309,145.39,633.86,38.6,29.09,5.31,0.0
20160425:1409,86.27,385.53,25.82,28.25,5.24,0.0
20160425:1509,28.78,158.39,13.04,26.76,4.69,0.0
20160425:1609,0.0,0.0,0.0,24.82,3.59,0.0
20160425:1709,0.0,0.0,0.0,23.24,2.34,0.0
20160425:1809,0.0,0.0,0.0,22.52,1.66,0.0
20160425:1909,0.0,0.0,0.0,22.05,1.93,0.0
20160425:2009,0.0,0.0,0.0,21.09,2.14,0.0
20160425:2109,0.0,0.0,0.0,20.25,2.34,0.0
20160425:2209,0.0,0.0,0.0,19.71,2.69,0.0
20160425:2309,0.0,0.0,0.0,19.41,2.97,0.0
20160426:0009,0.0,0.0,0.0,19.14,3.17,0.0
20160426:0109,0.0,0.0,0.0,18.85,3.17,0.0
20160426:0209,0.0,0.0,0.0,18.4,3.1,0.0
20160426:0309,0.0,0.0,0.0,18.17,3.31,0.0
20160426:0409,17.97,104.67,13.41,19.26,3.66,0.0
20160426:0509,68.87,314.06,26.19,22.89,4.0,0.0
20160426:0609,126.53,548.57,38.98,26.57,5.03,0.0
20160426:0709,174.0,763.31,51.45,29.94,5.72,0.0
20160426:0809,207.07,926.68,62.88,32.06,5.93,0.0
20160426:0909,224.61,1023.75,71.02,33.89,5.86,0.0
20160426:1009,223.87,1031.91,70.92,35.21,5.45,0.0
20160426:1109,201.28,926.51,62.67,36.29,5.24,0.0
20160426:1209,182.34,836.83,51.21,37.21,4.97,0.0
20160426:1309,140.22,639.56,38.73,37.6,4.83,0.0
20160426:1409,84.49,395.61,25.94,37.48,5.17,0.0
20160426:1509,26.11,148.9,13.16,36.82,4.97,0.0
20160426:1609,0.0,0.0,0.0,35.23,3.72,0.0
20160426:1709,0.0,0.0,0.0,32.93,4.62,0.0
20160426:1809,0.0,0.0,0.0,27.78,6.69,0.0
20160426:1909,0.0,0.0,0.0,24.15,4.28,0.0
20160426:2009,0.0,0.0,0.0,22.9,3.72,0.0
20160426:2109,0.0,0.0,0.0,21.75,4.41,0.0
20160426:2209,0.0,0.0,0.0,20.27,4.28,0.0
20160426:2309,0.0,0.0,0.0,19.25,3.66,0.0
20160427:0009,0.0,0.0,0.0,18.56,3.79,0.0
20160427:0109,0.0,0.0,0.0,17.63,4.14,0.0
20160427:0209,0.0,0.0,0.0,17.48,4.07,0.0
20160427:0309,0.0,0.0,0.0,17.32,4.07,0.0
20160427:0409,14.51,76.08,13.61,17.66,4.21,0.0
20160427:0509,21.58,104.87,26.38,18.46,4.21,0.0
20160427:0609,82.53,350.25,39.17,19.04,4.21,0.0
20160427:0709,132.16,555.88,51.66,20.39,4.83,0.0
20160427:0809,155.89,659.57,63.13,20.93,4.83,0.0
20160427:0909,207.01,886.45,71.34,21.59,5.1,0.0
20160427:1009,231.85,999.76,71.21,22.19,5.38,0.0
20160427:1109,227.74,979.64,62.86,22.42,5.31,0.0
20160427:1209,194.79,828.9,51.35,22.9,5.45,0.0
20160427:1309,148.67,626.16,38.85,22.75,5.93,0.0
20160427:1409,90.14,389.46,26.06,21.69,6.07,0.0
20160427:1509,29.22,154.57,13.28,20.12,5.66,0.0
20160427:1609,0.0,0.0,0.0,18.47,4.83,0.0
20160427:1709,0.0,0.0,0.0,17.31,4.14,0.0
20160427:1809,0.0,0.0,0.0,16.66,3.79,0.0
20160427:1909,0.0,0.0,0.0,15.79,3.59,0.0
20160427:2009,0.0,0.0,0.0,15.25,3.17,0.0
20160427:2109,0.0,0.0,0.0,14.87,2.9,0.0
20160427:2209,0.0,0.0,0.0,14.48,2.62,0.0
20160427:2309,0.0,0.0,0.0,14.1,2.41,0.0
20160428:0009,0.0,0.0,0.0,13.74,2.0,0.0
20160428:0109,0.0,0.0,0.0,13.5,1.45,0.0
20160428:0209,0.0,0.0,0.0,13.05,1.31,0.0
20160428:0309,0.0,0.0,0.0,12.58,1.24,0.0
20160428:0409,3.21,24.79,13.8,12.96,1.17,0.0
20160428:0509,53.56,233.26,26.57,14.95,2.21,0.0
20160428:0609,125.83,525.91,39.36,16.47,2.97,0.0
20160428:0709,189.34,799.61,51.87,18.61,3.59,0.0
20160428:0809,221.81,955.29,63.38,20.09,3.79,0.0
20160428:0909,241.53,1054.2,71.65,21.41,4.14,0.0
20160428:1009,243.16,1062.14,71.49,22.53,4.69,0.0
20160428:1109,228.43,988.42,63.05,23.15,5.24,0.0
20160428:1209,196.47,836.67,51.49,23.14,5.72,0.0
20160428:1309,150.46,633.12,38.97,22.44,6.0,0.0
20160428:1409,93.91,405.12,26.17,21.31,5.79,0.0
20160428:1509,29.88,157.87,13.4,19.94,5.31,0.0
20160428:1609,0.0,0.0,0.0,18.38,4.62,0.0
20160428:1709,0.0,0.0,0.0,17.16,3.72,0.0
20160428:1809,0.0,0.0,0.0,16.32,2.97,0.0
20160428:1909,0.0,0.0,0.0,15.37,2.55,0.0
20160428:2009,0.0,0.0,0.0,14.89,1.93,0.0
20160428:2109,0.0,0.0,0.0,14.52,1.52,0.0
20160428:2209,0.0,0.0,0.0,14.18,1.52,0.0
20160428:2309,0.0,0.0,0.0,13.49,1.52,0.0
20160429:0009,0.0,0.0,0.0,12.91,1.24,0.0
20160429:0109,0.0,0.0,0.0,13.04,0.69,0.0
20160429:0209,0.0,0.0,0.0,12.85,0.14,0.0
20160429:0309,0.0,0.92,1.46,12.57,0.21,0.0
20160429:0409,16.75,106.92,13.98,13.12,0.21,0.0
20160429:0509,74.51,335.0,26.75,15.32,0.55,0.0
20160429:0609,135.88,578.29,39.54,17.32,1.45,0.0
20160429:0709,185.43,795.5,52.07,18.67,2.14,0.0
20160429:0809,215.2,948.88,63.62,20.66,2.14,0.0
20160429:0909,232.66,1041.3,71.96,22.51,2.55,0.0
20160429:1009,238.33,1067.04,71.77,24.03,3.24,0.0
20160429:1109,222.99,988.13,63.24,25.0,3.72,0.0
20160429:1209,192.36,841.03,51.63,25.41,3.79,0.0
20160429:1309,146.75,633.17,39.09,25.3,4.0,0.0
20160429:1409,91.34,402.17,26.29,24.52,4.48,0.0
20160429:1509,29.61,158.58,13.53,22.76,5.17,0.0
20160429:1609,0.0,0.0,0.0,20.43,4.62,0.0
20160429:1709,0.0,0.0,0.0,18.65,3.52,0.0
20160429:1809,0.0,0.0,0.0,17.68,2.41,0.0
20160429:1909,0.0,0.0,0.0,17.12,1.45,0.0
20160429:2009,0.0,0.0,0.0,16.52,0.83,0.0
20160429:2109,0.0,0.0,0.0,16.0,0.41,0.0
20160429:2209,0.0,0.0,0.0,15.61,0.14,0.0
20160429:2309,0.0,0.0,0.0,15.12,0.14,0.0
20160430:0009,0.0,0.0,0.0,14.72,0.21,0.0
20160430:0109,0.0,0.0,0.0,14.58,0.48,0.0
20160430:0209,0.0,0.0,0.0,14.09,0.83,0.0
20160430:0309,0.0,1.83,1.65,13.34,1.17,0.0
20160430:0409,16.55,106.84,14.16,12.89,1.52,0.0
20160430:0509,74.32,334.56,26.92,17.03,1.59,0.0
20160430:0609,131.48,566.4,39.72,21.45,2.21,0.0
20160430:0709,175.5,772.35,52.26,23.61,1.93,0.0
20160430:0809,205.86,936.64,63.86,25.81,1.72,0.0
20160430:0909,216.9,1021.23,72.26,27.54,1.1,0.0
20160430:1009,220.09,1046.47,72.04,29.05,1.17,0.0
20160430:1109,206.51,967.21,63.42,30.13,1.59,0.0
20160430:1209,184.33,848.56,51.76,30.76,1.79,0.0
20160430:1309,142.54,645.22,39.2,30.96,1.79,0.0
20160430:1409,87.52,403.33,26.4,30.77,1.72,0.0
20160430:1509,28.15,157.51,13.65,30.14,1.72,0.0
20160430:1609,0.0,0.0,0.0,28.66,1.66,0.0
20160430:1709,0.0,0.0,0.0,26.71,1.66,0.0
20160430:1809,0.0,0.0,0.0,25.35,1.93,0.0
20160430:1909,0.0,0.0,0.0,24.09,2.14,0.0
20160430:2009,0.0,0.0,0.0,22.72,2.07,0.0
20160430:2109,0.0,0.0,0.0,21.52,2.28,0.0
20160430:2209,0.0,0.0,0.0,20.35,2.34,0.0
20160430:2309,0.0,0.0,0.0,19.47,2.34,0.0
20160501:0009,0.0,0.0,0.0,18.87,2.41,0.0
20160501:0109,0.0,0.0,0.0,18.52,2.55,0.0
20160501:0209,0.0,0.0,0.0,18.32,2.76,0.0
20160501:0309,0.0,1.83,1.84,18.28,2.9,0.0
20160501:0409,20.74,111.63,14.34,19.37,2.9,0.0
