time,P,G(i),H_sun,T2m,WS10m,Int
20160105:0609,77.17,317.51,15.22,9.11,2.76,0.0
20160105:0709,157.38,640.64,24.35,12.8,3.24,0.0
20160105:0809,192.46,793.44,31.36,14.8,3.79,0.0
20160105:0909,212.62,886.05,35.41,15.87,4.07,0.0
20160105:1009,181.15,749.85,35.83,16.58,4.28,0.0
20160105:1109,190.63,791.57,32.54,17.03,4.28,0.0
20160105:1209,177.75,736.12,26.11,17.3,4.14,0.0
20160105:1309,114.0,471.57,17.38,17.26,3.72,0.0
20160105:1409,17.36,88.18,7.09,16.53,2.48,0.0
20160105:1509,0.0,0.0,0.0,14.7,1.93,0.0
20160105:1609,0.0,0.0,0.0,12.82,2.0,0.0
20160105:1709,0.0,0.0,0.0,11.67,2.14,0.0
20160105:1809,0.0,0.0,0.0,10.88,2.34,0.0
20160105:1909,0.0,0.0,0.0,10.19,2.48,0.0
20160105:2009,0.0,0.0,0.0,9.77,2.62,0.0
20160105:2109,0.0,0.0,0.0,9.4,2.76,0.0
20160105:2209,0.0,0.0,0.0,8.97,2.69,0.0
20160105:2309,0.0,0.0,0.0,8.87,2.34,0.0
20160106:0009,0.0,0.0,0.0,9.09,2.14,0.0
20160106:0109,0.0,0.0,0.0,9.16,2.0,0.0
20160106:0209,0.0,0.0,0.0,9.38,1.86,0.0
20160106:0309,0.0,0.0,0.0,9.16,1.93,0.0
20160106:0409,0.0,0.0,0.0,8.86,2.0,0.0
20160106:0509,14.42,80.68,4.65,8.53,2.07,0.0
20160106:0609,90.79,374.45,15.23,9.59,1.86,0.0
20160106:0709,143.43,589.95,24.38,12.85,1.79,0.0
20160106:0809,187.87,792.01,31.42,16.18,2.28,0.0
20160106:0909,207.97,890.46,35.51,17.15,2.28,0.0
20160106:1009,208.91,901.32,35.96,17.79,2.07,0.0
20160106:1109,194.87,840.34,32.68,18.2,1.72,0.0
20160106:1209,161.05,686.99,26.26,18.41,1.38,0.0
20160106:1309,110.45,467.34,17.53,18.38,1.24,0.0
20160106:1409,23.09,112.86,7.23,17.82,1.31,0.0
20160106:1509,0.0,0.0,0.0,16.01,1.66,0.0
20160106:1609,0.0,0.0,0.0,13.94,2.07,0.0
20160106:1709,0.0,0.0,0.0,12.17,2.07,0.0
20160106:1809,0.0,0.0,0.0,11.01,2.14,0.0
20160106:1909,0.0,0.0,0.0,10.33,1.93,0.0
20160106:2009,0.0,0.0,0.0,9.88,1.86,0.0
20160106:2109,0.0,0.0,0.0,9.4,2.21,0.0
20160106:2209,0.0,0.0,0.0,9.11,2.28,0.0
20160106:2309,0.0,0.0,0.0,9.01,2.55,0.0
20160107:0009,0.0,0.0,0.0,8.92,2.62,0.0
20160107:0109,0.0,0.0,0.0,8.73,2.62,0.0
20160107:0209,0.0,0.0,0.0,8.68,2.62,0.0
20160107:0309,0.0,0.0,0.0,8.51,2.62,0.0
20160107:0409,0.0,0.0,0.0,8.34,2.55,0.0
20160107:0509,10.28,60.64,4.64,8.29,2.62,0.0
20160107:0609,88.35,364.21,15.24,9.92,2.34,0.0
20160107:0709,125.54,517.35,24.42,14.16,2.0,0.0
20160107:0809,160.25,673.17,31.5,18.12,2.69,0.0
20160107:0909,139.09,584.51,35.61,19.36,3.1,0.0
20160107:1009,167.51,710.61,36.09,20.21,3.17,0.0
20160107:1109,53.61,235.52,32.83,20.66,3.24,0.0
20160107:1209,37.1,168.91,26.42,20.59,3.31,0.0
20160107:1309,21.57,105.63,17.69,20.02,2.48,0.0
20160107:1409,5.82,37.97,7.39,18.63,2.07,0.0
20160107:1509,0.0,0.0,0.0,16.53,1.52,0.0
20160107:1609,0.0,0.0,0.0,16.19,2.55,0.0
20160107:1709,0.0,0.0,0.0,15.52,4.21,0.0
20160107:1809,0.0,0.0,0.0,14.9,5.03,0.0
20160107:1909,0.0,0.0,0.0,14.36,6.48,0.0
20160107:2009,0.0,0.0,0.0,13.2,6.28,0.0
20160107:2109,0.0,0.0,0.0,12.16,6.07,0.0
20160107:2209,0.0,0.0,0.0,11.55,6.28,0.0
20160107:2309,0.0,0.0,0.0,11.14,6.34,0.0
20160108:0009,0.0,0.0,0.0,10.79,6.34,0.0
20160108:0109,0.0,0.0,0.0,10.64,6.34,0.0
20160108:0209,0.0,0.0,0.0,10.49,6.14,0.0
20160108:0309,0.0,0.0,0.0,10.53,6.07,0.0
20160108:0409,0.0,0.0,0.0,10.6,6.07,0.0
20160108:0509,4.21,30.33,4.64,10.47,6.07,0.0
20160108:0609,24.3,112.45,15.26,11.23,6.0,0.0
20160108:0709,62.7,259.37,24.47,11.99,6.21,0.0
20160108:0809,71.87,295.33,31.58,12.95,7.59,0.0
20160108:0909,87.14,354.96,35.73,13.75,8.0,0.0
20160108:1009,66.92,278.7,36.23,14.6,8.34,0.0
